date,Last
2021-01-12 08:00:00,36413.6
2021-01-12 08:30:00,36116.85
2021-01-12 09:00:00,35773.23
2021-01-12 09:30:00,35827.26
2021-01-12 10:00:00,35925.76
2021-01-12 10:30:00,34881.0
2021-01-12 11:00:00,35085.76
2021-01-12 11:30:00,35582.59
2021-01-12 12:00:00,35410.99
2021-01-12 12:30:00,35346.13
2021-01-12 13:00:00,35012.96
2021-01-12 13:30:00,34567.87
2021-01-12 14:00:00,33286.0
2021-01-12 14:30:00,32931.25
2021-01-12 15:00:00,33416.47
2021-01-12 15:30:00,34067.03
2021-01-12 16:00:00,33829.4
2021-01-12 16:30:00,34555.41
2021-01-12 17:00:00,34998.91
2021-01-12 17:30:00,34611.46
2021-01-12 18:00:00,35012.54
2021-01-12 18:30:00,35330.49
2021-01-12 19:00:00,35040.78
2021-01-12 19:30:00,34575.36
2021-01-12 20:00:00,34686.1
2021-01-12 20:30:00,34224.54
2021-01-12 21:00:00,34287.95
2021-01-12 21:30:00,34110.39
2021-01-12 22:00:00,34721.74
2021-01-12 22:30:00,34391.44
2021-01-12 23:00:00,33751.7
2021-01-12 23:30:00,33461.98
2021-01-13 00:00:00,34049.15
2021-01-13 00:30:00,33081.25
2021-01-13 01:00:00,32526.93
2021-01-13 01:30:00,32600.04
2021-01-13 02:00:00,33125.3
2021-01-13 02:30:00,32801.82
2021-01-13 03:00:00,33035.21
2021-01-13 03:30:00,33918.67
2021-01-13 04:00:00,33818.5
2021-01-13 04:30:00,33705.26
2021-01-13 05:00:00,33183.89
2021-01-13 05:30:00,33034.99
2021-01-13 06:00:00,33321.76
2021-01-13 06:30:00,33821.86
2021-01-13 07:00:00,33780.68
2021-01-13 07:30:00,34613.73
2021-01-13 08:00:00,34986.9
2021-01-13 08:30:00,34648.38
2021-01-13 09:00:00,34517.44
2021-01-13 09:30:00,34717.98
2021-01-13 10:00:00,34343.62
2021-01-13 10:30:00,34759.78
2021-01-13 11:00:00,34922.99
2021-01-13 11:30:00,34869.76
2021-01-13 12:00:00,34385.48
2021-01-13 12:30:00,34166.44
2021-01-13 13:00:00,34266.52
2021-01-13 13:30:00,34531.36
2021-01-13 14:00:00,34575.51
2021-01-13 14:30:00,34888.1
2021-01-13 15:00:00,34260.7
2021-01-13 15:30:00,34633.02
2021-01-13 16:00:00,34673.9
2021-01-13 16:30:00,34443.66
2021-01-13 17:00:00,34784.98
2021-01-13 17:30:00,34877.29
2021-01-13 18:00:00,34821.47
2021-01-13 18:30:00,35110.62
2021-01-13 19:00:00,35719.36
2021-01-13 19:30:00,35805.52
2021-01-13 20:00:00,36002.24
2021-01-13 20:30:00,35937.17
2021-01-13 21:00:00,36222.07
2021-01-13 21:30:00,36211.65
